Id	Label	node-type
Т.Н. Штейн, Т.Ю. Климешова	Т.Н. Штейн, Т.Ю. Климешова	author
Эмили Мерц	Эмили Мерц	author
Галина Петриашвили	Галина Петриашвили	author
Татьяна Федяева	Татьяна Федяева	author
Оксана Иванина	Оксана Иванина	author
Галина Петриашвили	Галина Петриашвили	author
Татьяна Федяева	Татьяна Федяева	author
Светлана Пономарева	Светлана Пономарева	author
Надежда Ажгихина	Надежда Ажгихина	author
Максим Костенко	Максим Костенко	author
Алина Ильина, Лидия Блохина	Алина Ильина, Лидия Блохина	author
Александра Леонтьева, Карин Сарсенов	Александра Леонтьева, Карин Сарсенов	author
Ирина Герциг, Ольга Новосад	Ирина Герциг, Ольга Новосад	author
Валентина Полетаева	Валентина Полетаева	author
Надежда Шведова	Надежда Шведова	author
Елена Кочкина, Михаил Кириченко, Наталья Степанова	Елена Кочкина, Михаил Кириченко, Наталья Степанова	author
Татьяна Федяева	Татьяна Федяева	author
Любовь Штылева	Любовь Штылева	author
Татьяна Попова	Татьяна Попова	author
Тамара Овнатанян	Тамара Овнатанян	author
Татьяна Степанова	Татьяна Степанова	author
Мария Петроченкова	Мария Петроченкова	author
Любовь Горяева	Любовь Горяева	author
Холема Хушкадамова	Холема Хушкадамова	author
Колетт Шульман	Колетт Шульман	author
Надежда Ажгихина	Надежда Ажгихина	author
Ольга Липовская	Ольга Липовская	author
Наталья В. Иванова	Наталья В. Иванова	author
Светлана Айвазова	Светлана Айвазова	author
Ия Мерквиладзе	Ия Мерквиладзе	author
Галина Петриашвили	Галина Петриашвили	author
Светлана Ризаева	Светлана Ризаева	author
Любовь Штылева	Любовь Штылева	author
Тамара Овнатанян, лидеры Армении	Тамара Овнатанян, лидеры Армении	author
Халима Хушкадамова	Халима Хушкадамова	author
Александра Смит	Александра Смит	author
Татьяна Попова	Татьяна Попова	author
